City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
310,belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
311,chiredzi,ZW,79.03,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
315,ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
316,tsaratanana,MG,72.36,overcast clouds,-16.7833,47.65,
319,sao paulo de olivenca,BR,76.5,overcast clouds,-3.3783,-68.8725,
324,guiratinga,BR,72.64,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
325,saint-pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
326,yambio,SS,71.89,overcast clouds,4.5721,28.3955,Naivasha Hotel
333,puerto leguizamo,CO,79.83,scattered clouds,-0.1934,-74.7819,la casona de juancho
337,jawhar,SO,75.25,broken clouds,2.7809,45.5005,hantiwadaag village part one
349,pombas,CV,71.38,broken clouds,17.1503,-25.0201,Paul Paradis
350,palpa,PE,77.31,broken clouds,-14.5336,-75.1856,Palpa Lines
352,beroroha,MG,78.04,broken clouds,-21.6667,45.1667,
354,mitsamiouli,KM,79.92,overcast clouds,-11.3847,43.2844,Foyer ADM
357,kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
359,castilho,BR,76.12,broken clouds,-20.8722,-51.4875,D S Oliveira Hotel
360,tobias barreto,BR,73.99,broken clouds,-11.1839,-37.9983,Pousada Moura
364,maragogi,BR,79.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
365,qandala,SO,75.2,clear sky,11.472,49.8728,
367,balsas,BR,77.31,overcast clouds,-7.5325,-46.0356,Novo Hotel
368,ouesso,CG,72.52,overcast clouds,1.6136,16.0517,ABENIE Hotel
369,meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
378,huarmey,PE,70.47,broken clouds,-10.0681,-78.1522,Hotel Miramar
379,adre,TD,70.39,broken clouds,13.4667,22.2,
381,kismayo,SO,79.86,scattered clouds,-0.3582,42.5454,Agan-Hotel
382,tabuk,PH,70.41,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
383,gat,IL,72.79,overcast clouds,31.61,34.7642,OlusHome
387,playa vicente,MX,72.12,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
390,salvador,SV,77.4,broken clouds,13.8333,-88.9167,Chico's Ranch
392,bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
393,mandiana,GN,76.37,broken clouds,10.6333,-8.6833,Motels rouzo
394,kiunga,PG,75.31,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
402,itaituba,BR,75.52,overcast clouds,-4.2761,-55.9836,Hotel Campos
403,souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
407,el tigre,VE,76.35,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
416,sao felix do xingu,BR,73.96,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
417,general roca,AR,70.63,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
428,sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
430,manggar,ID,78.13,overcast clouds,-2.8833,108.2667,Guest Hotel
431,yarada,IN,75.52,mist,17.65,83.2667,Vishranti
432,owando,CG,71.2,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
442,marabba,SD,79.27,few clouds,12.35,32.1833,
444,pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
445,tadpatri,IN,70.59,overcast clouds,14.9167,78.0167,B Ravi kumar
456,coron,PH,78.89,overcast clouds,11.9986,120.2043,Coron Westown Resort
459,kalmunai,LK,77.04,overcast clouds,7.4167,81.8167,VS Villa
472,cururupu,BR,79.2,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
487,vila velha,BR,78.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
491,tshikapa,CD,71.85,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
492,angoche,MZ,76.75,clear sky,-16.2325,39.9086,Guest House HESADA
498,guasdualito,VE,79.61,broken clouds,7.2424,-70.7324,Hotel Cuibas
507,bataipora,BR,76.17,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
508,port-gentil,GA,79.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
509,rey bouba,CM,74.57,broken clouds,8.6724,14.1786,
515,port shepstone,ZA,73.69,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
517,daru,PG,79.16,overcast clouds,-9.0763,143.2092,Daru Lodge
521,rio grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
524,guanajuato,MX,74.3,broken clouds,21.0186,-101.2591,Hotel Posada Santa Fe
533,hambantota,LK,78.08,overcast clouds,6.1241,81.1185,Bungalow 63
537,palauig,PH,77.94,overcast clouds,15.435,119.9045,Alperi Botique Resort
539,cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
540,kollam,IN,78.67,broken clouds,8.8833,76.6,Nani Hotels and Resorts
548,viedma,AR,73.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
550,vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
553,kalabo,ZM,77.29,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
554,merritt island,US,74.08,overcast clouds,28.5392,-80.672,
557,ilhabela,BR,75.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
559,tadine,NC,78.39,overcast clouds,-21.55,167.8833,
561,araouane,ML,71.06,scattered clouds,18.9048,-3.5265,
565,paysandu,UY,75.96,overcast clouds,-32.3214,-58.0756,Gran Hotel Paysandú
566,luangwa,ZM,77.65,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
576,santa cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
578,caravelas,BR,76.62,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
580,matara,LK,76.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
585,eyl,SO,75.02,few clouds,7.9803,49.8164,Amiin Hotel
586,dawei,MM,73.04,clear sky,14.0833,98.2,Hotel Dawei
590,dakar,SN,77.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
592,samfya,ZM,75.43,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
594,san vicente,AR,74.53,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
