City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,norman wells,CA,2021-12-12 12:17:10,65.282,-126.8329,-2.16,65,90,11.5,light snow,0.0,0
55,moyale,KE,2021-12-12 12:17:10,3.5167,39.0584,84.96,24,45,17.69,scattered clouds,0.0,0
56,saint george,US,2021-12-12 12:17:10,37.1041,-113.5841,40.35,72,1,0.0,clear sky,0.0,0
57,arinos,BR,2021-12-12 12:17:11,-15.9169,-46.1056,79.0,74,89,4.85,overcast clouds,0.0,0
58,ribeira grande,PT,2021-12-12 12:17:11,38.5167,-28.7,61.2,72,40,25.32,scattered clouds,0.0,0
59,ponta do sol,PT,2021-12-12 12:17:11,32.6667,-17.1,70.0,73,36,0.56,scattered clouds,0.0,0
60,georgetown,MY,2021-12-12 12:17:12,5.4112,100.3354,85.89,74,20,6.91,few clouds,0.0,0
61,esperance,AU,2021-12-12 12:17:12,-33.8667,121.9,58.5,56,63,12.53,broken clouds,0.0,0
62,cambridge,CA,2021-12-12 12:15:01,43.3601,-80.3127,32.14,86,15,1.99,few clouds,0.0,0
63,alice springs,AU,2021-12-12 12:13:45,-23.7,133.8833,78.35,25,0,6.91,clear sky,0.0,0
64,poltavka,RU,2021-12-12 12:17:13,54.3663,71.7632,2.61,96,9,6.55,clear sky,0.0,0
65,dingle,PH,2021-12-12 12:17:13,10.9995,122.6711,76.24,92,99,8.01,overcast clouds,0.0,0
66,pangnirtung,CA,2021-12-12 12:17:13,66.1451,-65.7125,-7.94,76,16,5.61,few clouds,0.0,0
67,mumbwa,ZM,2021-12-12 12:17:14,-14.9783,27.0619,97.54,13,9,10.8,clear sky,0.0,0
68,nchelenge,ZM,2021-12-12 12:17:14,-9.3451,28.734,84.06,48,12,7.2,few clouds,0.0,0
69,saldanha,ZA,2021-12-12 12:17:09,-33.0117,17.9442,65.3,72,100,10.25,overcast clouds,0.0,0
70,rikitea,PF,2021-12-12 12:17:14,-23.1203,-134.9692,76.46,76,53,6.91,light rain,0.0,0
71,makakilo city,US,2021-12-12 12:17:15,21.3469,-158.0858,71.92,82,20,3.44,light intensity drizzle,0.0,0
72,volosovo,RU,2021-12-12 12:17:15,59.4333,29.4833,21.78,96,100,5.97,overcast clouds,0.0,0
73,tuktoyaktuk,CA,2021-12-12 12:17:16,69.4541,-133.0374,0.52,96,100,11.5,overcast clouds,0.0,0
74,miri,MY,2021-12-12 12:17:16,4.4148,114.0089,80.74,89,40,3.44,scattered clouds,0.0,0
75,chuy,UY,2021-12-12 12:17:16,-33.6971,-53.4616,72.64,60,0,6.31,clear sky,0.0,0
76,makhachkala,RU,2021-12-12 12:17:17,42.9764,47.5024,39.18,70,100,7.49,overcast clouds,0.0,0
77,port lincoln,AU,2021-12-12 12:15:22,-34.7333,135.8667,62.6,86,59,15.28,broken clouds,0.0,0
78,mudon,MM,2021-12-12 12:17:17,16.2578,97.7164,79.84,54,3,11.7,clear sky,0.0,0
79,carnarvon,AU,2021-12-12 12:17:18,-24.8667,113.6333,73.47,68,0,20.71,clear sky,0.0,0
80,dolores,AR,2021-12-12 12:17:18,-36.3132,-57.6792,72.18,72,89,6.82,overcast clouds,0.0,0
81,mayo,US,2021-12-12 12:17:18,38.8876,-76.5119,43.14,54,1,5.99,clear sky,0.0,0
82,mamallapuram,IN,2021-12-12 12:17:19,12.6264,80.1722,83.05,77,57,15.43,broken clouds,0.0,0
83,new norfolk,AU,2021-12-12 12:17:19,-42.7826,147.0587,54.91,66,3,1.01,clear sky,0.0,0
84,qaanaaq,GL,2021-12-12 12:15:14,77.484,-69.3632,-0.35,63,52,4.18,broken clouds,0.0,0
85,russell,US,2021-12-12 12:15:22,32.3502,-85.1999,45.68,70,1,8.05,clear sky,0.0,0
86,bandarbeyla,SO,2021-12-12 12:17:20,9.4942,50.8122,79.99,69,0,25.37,clear sky,0.0,0
87,la peca,PE,2021-12-12 12:17:18,-5.6111,-78.435,68.85,88,76,1.12,broken clouds,0.0,0
88,grindavik,IS,2021-12-12 12:17:20,63.8424,-22.4338,43.27,87,75,19.57,moderate rain,0.0,0
89,xiaoweizhai,CN,2021-12-12 12:17:20,26.1903,107.5125,43.68,93,100,5.14,overcast clouds,0.0,0
90,benguela,AO,2021-12-12 12:17:20,-12.5763,13.4055,82.81,73,88,7.25,overcast clouds,0.0,0
91,arraial do cabo,BR,2021-12-12 12:17:21,-22.9661,-42.0278,84.16,78,75,3.44,broken clouds,0.0,0
92,oyonnax,FR,2021-12-12 12:17:21,46.2592,5.6573,38.61,91,64,1.99,broken clouds,0.0,0
93,praia,CV,2021-12-12 12:17:21,14.9215,-23.5087,79.34,65,75,17.27,broken clouds,0.0,0
94,chumikan,RU,2021-12-12 12:17:22,54.7183,135.315,8.53,93,100,5.39,overcast clouds,0.0,0
95,kavaratti,IN,2021-12-12 12:17:22,10.5669,72.642,82.71,71,29,5.46,scattered clouds,0.0,0
96,princeton,US,2021-12-12 12:15:22,25.5384,-80.4089,73.0,95,1,3.44,mist,0.0,0
97,garowe,SO,2021-12-12 12:17:22,8.4054,48.4845,88.68,30,12,17.36,few clouds,0.0,0
98,bahadurganj,IN,2021-12-12 12:17:23,26.2667,87.8167,69.19,34,12,5.37,few clouds,0.0,0
99,ngunguru,NZ,2021-12-12 12:17:23,-35.6167,174.5,70.16,93,67,4.32,broken clouds,0.0,0
100,anaco,VE,2021-12-12 12:17:23,9.4389,-64.4728,74.77,82,100,1.41,overcast clouds,0.0,0
101,barrow,US,2021-12-12 12:17:24,71.2906,-156.7887,-5.78,77,1,11.5,haze,0.0,0
